约束ID,类别,约束内容,来源,影响范围,违反后果,规避策略,状态
C-001,阶段约束,当前处于模拟开发阶段仅使用手动照片数据,用户要求,全局,过早进入生产链路导致返工,模拟链路测试稳定前禁止生产接入,生效
C-002,里程碑约束,测试稳定后才允许开发生产链路,用户要求,排期与资源,生产开发时机错误,以测试与验收表为门禁,生效
C-003,环境约束,开发环境为Windows与Python项目,现网环境,构建与运行,跨环境行为偏差,固定本地环境并记录命令,生效
C-004,数据约束,当前样本以手动照片为主,阶段事实,算法验证,覆盖不足导致误判,持续扩样并记录数据版本,生效
C-005,质量约束,每个工作包必须提供证据路径,交接规范,开发与测试,无法验收与复盘,进度表强制填写证据路径,生效
C-006,回归约束,每轮优化后必须执行pytest回归,团队规则,全局稳定性,引入回归风险,固定执行python -m pytest -q,生效
C-007,安全约束,敏感配置不得硬编码入库,安全规范,全局,凭据泄露,使用环境变量与脱敏日志,生效
C-008,流程约束,会话结束必须追加上下文衔接记录,交接规范,跨AI协作,上下文断档,固定结束动作写入上下文衔接表,生效
C-009,实现约束,优先做不改业务行为的重构与收敛,当前策略,核心流程,引入功能回归,先重构再回归验证,生效
C-010,权限约束,系统临时目录可能存在访问受限,测试环境现状,测试执行,临时目录测试失败,改用仓库内可写目录,生效
