任务ID,阶段,工作包,来源范围,优先级,计划工期(周),状态,完成定义,证据路径,阻塞,下一步
WP-001,Phase-0,建立交接包与流程基线,全局,P0,1,已完成,handoff目录与核心表单齐全,handoff/README.md|handoff/开发计划.md|handoff/开发进度表.csv,无,进入WP-002
WP-002,Phase-1,Web层公共逻辑收敛,web模块,P0,1,已完成,三套Web入口复用公共推流循环,web/common.py|web/app.py|web/device_app.py|web/single_grid_app.py,无,进入WP-003
WP-003,Phase-1,测试稳定化与回归收敛,tests与pytest配置,P0,1,已完成,全量测试稳定通过,tests/test_web_common.py|pytest.ini,无,进入WP-004
WP-004,Phase-1,模拟链路场景覆盖扩充,模拟照片与检测链路,P0,2,进行中,模拟链路核心场景可重复回归且接口契约可自动校验,tests/test_web_common.py|tests/test_web_routes_contract.py|tests/test_integration.py|tests/test_performance.py,样本覆盖仍不足,推进WP-004C与WP-004D
WP-004A,Phase-1,接口契约清单化,web接口,P1,1,已完成,三套Web入口API与WS契约形成表格化清单,handoff/接口契约表.csv,无,进入WP-004B
WP-004B,Phase-1,路由契约自动化回归,web接口,P1,1,已完成,新增路由契约测试并通过回归,tests/test_web_routes_contract.py|python -m pytest -q,无,进入WP-004C
WP-004C,Phase-1,模拟样本覆盖扩充,测试数据,P0,2,进行中,补齐典型场景样本并映射到集成测试,tests/test_images|tests/mock_data|tests/test_integration.py|handoff/模拟样本盘点.md,样本分类与标注仍不完整,先完成重煤/边界/光照三类补样
WP-004C1,Phase-1,模拟样本基线盘点,测试数据,P1,1,已完成,输出当前样本数量与分类缺口清单,handoff/模拟样本盘点.md|handoff/数据集与标注表.csv,无,进入WP-004C补样执行
WP-004D,Phase-1,模拟链路长稳手测,web运行态,P1,1,未开始,连续运行无异常中断且关键状态稳定,web/app.py|runtime_web_stdout.log|runtime_web_stderr.log,待安排专门执行窗口,执行30分钟长稳手测并回填结果
WP-005,Phase-2,真实相机链路接入,drivers与core采集链路,P0,2,未开始,真实相机采集稳定运行,drivers/hikvision_camera.py|core/capture_process.py,受阶段门禁限制,待Phase-1通过后启动
WP-006,Phase-2,PLC生产写入链路接入,plc与检测链路,P0,2,未开始,检测结果可稳定写入PLC并可回滚,plc/allen_bradley.py|core/detect_process.py,受阶段门禁限制,待WP-005完成后启动
WP-007,Phase-3,生产部署与验收,部署与运维,P1,1,未开始,上线与回滚流程可执行,README.md|handoff/测试与验收表.csv,依赖WP-005/WP-006,准备验收脚本与清单
